product_id,need_slug
pdf-salud-176,recuperacion-muscular
pdf-salud-178,recuperacion-muscular
pdf-salud-181,recuperacion-muscular
pdf-salud-183,recuperacion-muscular
pdf-salud-185,recuperacion-muscular
pdf-salud-188,recuperacion-muscular
pdf-salud-190,recuperacion-muscular
pdf-salud-192,recuperacion-muscular
pdf-salud-195,cuidado-bucodental
pdf-salud-197,cuidado-bucodental
pdf-salud-199,cuidado-bucodental
pdf-salud-201,cuidado-bucodental
pdf-salud-204,nutricion-bienestar
pdf-salud-206,nutricion-bienestar
pdf-salud-208,nutricion-bienestar
pdf-salud-210,nutricion-bienestar
pdf-salud-212,nutricion-bienestar
